Country,Doses Administered,Doses per 1000,Fully Vaccinated Population (%),Vaccine being used in a country
Botswana,2871301,1273.8,60.98,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Mauritius,2580909,2039.8,77.27,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
Senegal,2469499,155.8,6.91,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing"
Moldova,2165600,610.7,29.99,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
Estonia,2076308,1571.9,64.14,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
South Sudan,1991329,181.4,17.3,"Johnson&Johnson, Oxford/AstraZeneca"
Bhutan,1928471,2556.3,89.46,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Cameroon,1893318,75.1,4.98,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
North Macedonia,1861054,893.5,40.22,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, Sputnik V"
Kosovo,1836717,995.3,44.7,"Oxford/AstraZeneca, Pfizer/BioNTech"
Madagascar,1809232,68.9,5.56,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing"
Cyprus,1792897,1415.4,50.96,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Armenia,1761529,596.8,26.59,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, Sputnik Light, Sputnik V"
Central African Republic,1586764,340.0,29.94,"Covaxin, Oxford/AstraZeneca"
Trinidad and Tobago,1580898,1137.5,51.58,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Fiji,1545993,1749.9,72.38,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Macao,1507144,2386.1,94.9,"Pfizer/BioNTech, Sinopharm/Beijing"
Jamaica,1495422,509.5,25.06,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Luxembourg,1348647,2219.2,76.18,"Johnson&Johnson, Moderna, Novavax, Oxford/AstraZeneca, Pfizer/BioNTech"
Malta,1343194,2777.9,97.43,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Brunei,1273212,2741.2,95.75,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Bosnia and Herzegovina,1242203,373.7,15.28,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Lesotho,1077116,510.9,41.39,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing"
Guyana,1017969,1306.8,59.26,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Maldives,950776,1843.7,74.64,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V"
Namibia,950468,388.2,21.01,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Yemen,898257,31.5,1.65,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V"
Cape Verde,853757,1535.6,55.47,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Congo,833078,9.9,0.78,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Gambia,815861,357.8,15.67,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing"
Iceland,805469,2278.1,82.07,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Eswatini,773579,680.9,43.19,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
Papua New Guinea,684024,79.5,3.46,Oxford/AstraZeneca
Montenegro,679171,1091.3,45.77,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Guinea-Bissau,673091,359.1,20.94,"Oxford/AstraZeneca, Sinopharm/Beijing"
Solomon Islands,625956,958.8,38.96,Oxford/AstraZeneca
Northern Cyprus,617389,1657.5,74.09,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Comoros,598000,718.5,30.87,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing"
Gabon,569829,268.9,12.13,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Suriname,505699,878.0,41.3,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Belize,500424,1306.3,57.53,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
French Polynesia,495746,1785.3,66.86,"Johnson&Johnson, Pfizer/BioNTech"
Equatorial Guinea,484554,370.2,15.9,"Sinopharm/Beijing, Sinovac"
Haiti,470964,42.3,2.0,"Johnson&Johnson, Moderna"
New Caledonia,469584,1611.7,63.18,Pfizer/BioNTech
Samoa,448784,2288.2,90.58,Oxford/AstraZeneca
Bahamas,362109,939.0,42.73,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
Barbados,318263,1110.3,53.95,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
Vanuatu,293584,1003.1,45.0,Oxford/AstraZeneca
Curacao,256010,1601.6,62.53,"Moderna, Pfizer/BioNTech"
Djibouti,253257,264.1,22.14,"CanSino, Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V"
Jersey,242600,2250.5,75.5,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Sao Tome and Principe,226808,1074.8,48.75,Oxford/AstraZeneca
Seychelles,214152,2213.2,83.92,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Tonga,205763,1946.8,72.66,Oxford/AstraZeneca
Isle of Man,189994,2259.8,79.81,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Aruba,173837,1642.4,79.19,Pfizer/BioNTech
Guernsey,157708,2515.0,21.72,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Andorra,154195,2002.4,69.45,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Cayman Islands,148160,2308.7,93.72,"Oxford/AstraZeneca, Pfizer/BioNTech"
Antigua and Barbuda,136512,1417.8,64.79,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
Bermuda,132042,2064.2,74.5,"Oxford/AstraZeneca, Pfizer/BioNTech"
Saint Lucia,122552,673.8,30.12,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Gibraltar,119578,3546.4,122.79,"Oxford/AstraZeneca, Pfizer/BioNTech"
Faeroe Islands,103894,,0.0,"Moderna, Pfizer/BioNTech"
Grenada,90251,809.8,34.88,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech"
Greenland,79745,1423.4,68.72,"Moderna, Pfizer/BioNTech"
Liechtenstein,72911,1923.3,69.78,"Johnson&Johnson, Moderna, Novavax, Pfizer/BioNTech"
Turks and Caicos Islands,72837,1933.8,80.41,Pfizer/BioNTech
Saint Vincent and the Grenadines,72687,659.5,28.42,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik Light, Sputnik V"
Dominica,67639,944.3,42.8,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
